generation,best_fitness,mean_fitness
1.740000000000000000e+02,4.914771932407743238e-01,4.847398873335501679e-01
1.750000000000000000e+02,4.914771932407743238e-01,4.829347805358840118e-01
1.760000000000000000e+02,4.914771932407743238e-01,4.847269849174261624e-01
1.770000000000000000e+02,4.914771932407743238e-01,4.836478238091849735e-01
1.780000000000000000e+02,4.914771932407743238e-01,4.822001479685922298e-01
1.790000000000000000e+02,4.914771932407743238e-01,4.857495225355576984e-01
1.800000000000000000e+02,4.914771932407743238e-01,4.856047135991795050e-01
1.810000000000000000e+02,4.914771932407743238e-01,4.841932096762414650e-01
1.820000000000000000e+02,4.914771932407743238e-01,4.839094257578585578e-01
1.830000000000000000e+02,4.914771932407743238e-01,4.857000504326820511e-01
1.840000000000000000e+02,4.914771932407743238e-01,4.842512336976175780e-01
1.850000000000000000e+02,4.914771932407743238e-01,4.834380952476267090e-01
1.860000000000000000e+02,4.914771932407743238e-01,4.838328991277828228e-01
1.870000000000000000e+02,4.914771932407743238e-01,4.859505121184699017e-01
1.880000000000000000e+02,4.914771932407743238e-01,4.836628633198908345e-01
1.890000000000000000e+02,4.914771932407743238e-01,4.859329571970160688e-01
1.900000000000000000e+02,4.914771932407743238e-01,4.880477539770747830e-01
1.910000000000000000e+02,4.914771932407743238e-01,4.865810936191427016e-01
1.920000000000000000e+02,4.914771932407743238e-01,4.833217270347921479e-01
1.930000000000000000e+02,4.914771932407743238e-01,4.848677188077624711e-01
1.940000000000000000e+02,4.914771932407743238e-01,4.808935094542015065e-01
1.950000000000000000e+02,4.914771932407743238e-01,4.874425455318485700e-01
1.960000000000000000e+02,4.914771932407743238e-01,4.838978082574977857e-01
1.970000000000000000e+02,4.914771932407743238e-01,4.824483306729331344e-01
1.980000000000000000e+02,4.914771932407743238e-01,4.861409946340274901e-01
1.990000000000000000e+02,4.914771932407743238e-01,4.859263070761453696e-01
2.000000000000000000e+02,4.914771932407743238e-01,4.829583758275338701e-01
2.010000000000000000e+02,4.914771932407743238e-01,4.854432173002110606e-01
2.020000000000000000e+02,4.914771932407743238e-01,4.851997818355943126e-01
2.030000000000000000e+02,4.914771932407743238e-01,4.844974452425543920e-01
2.040000000000000000e+02,4.914771932407743238e-01,4.861031896019704091e-01
2.050000000000000000e+02,4.914771932407743238e-01,4.841634808517399913e-01
2.060000000000000000e+02,4.914771932407743238e-01,4.858449152482134936e-01
2.070000000000000000e+02,4.914771932407743238e-01,4.828243226671018462e-01
2.080000000000000000e+02,4.914771932407743238e-01,4.855646515983772504e-01
2.090000000000000000e+02,4.914771932407743238e-01,4.832480780810919363e-01
2.100000000000000000e+02,4.914771932407743238e-01,4.830318416259381520e-01
2.110000000000000000e+02,4.914771932407743238e-01,4.844760610780816101e-01
2.120000000000000000e+02,4.914771932407743238e-01,4.852352598165149966e-01
2.130000000000000000e+02,4.914771932407743238e-01,4.836526108256379297e-01
2.140000000000000000e+02,4.914771932407743238e-01,4.842308890365044638e-01
2.150000000000000000e+02,4.914771932407743238e-01,4.848540242912038889e-01
2.160000000000000000e+02,4.914771932407743238e-01,4.819806727827231074e-01
2.170000000000000000e+02,4.914771932407743238e-01,4.822987679645228676e-01
2.180000000000000000e+02,4.914771932407743238e-01,4.860563894670105189e-01
2.190000000000000000e+02,4.914771932407743238e-01,4.811205651574802511e-01
2.200000000000000000e+02,4.914771932407743238e-01,4.832447209840967650e-01
2.210000000000000000e+02,4.914771932407743238e-01,4.841954536764144779e-01
2.220000000000000000e+02,4.914782103803986835e-01,4.835577825436033761e-01
2.230000000000000000e+02,4.914782103803986835e-01,4.840436472949406488e-01
2.240000000000000000e+02,4.914782103803986835e-01,4.824801731589398734e-01
2.250000000000000000e+02,4.914782103803986835e-01,4.826066551639882074e-01
2.260000000000000000e+02,4.914782103803986835e-01,4.850974520073104701e-01
2.270000000000000000e+02,4.914782103803986835e-01,4.838183026258211505e-01
2.280000000000000000e+02,4.914782103803986835e-01,4.864572764239578073e-01
2.290000000000000000e+02,4.914782103803986835e-01,4.868383881200921692e-01
2.300000000000000000e+02,4.914782103803986835e-01,4.834771506655864970e-01
2.310000000000000000e+02,4.914782103803986835e-01,4.855767468474929127e-01
2.320000000000000000e+02,4.914782103803986835e-01,4.838920878184459484e-01
2.330000000000000000e+02,4.914782103803986835e-01,4.860805086733305802e-01
2.340000000000000000e+02,4.914782103803986835e-01,4.845199511672673154e-01
2.350000000000000000e+02,4.914782103803986835e-01,4.850942043197016273e-01
2.360000000000000000e+02,4.914782103803986835e-01,4.861133515412466854e-01
2.370000000000000000e+02,4.914782103803986835e-01,4.865741010398125788e-01
2.380000000000000000e+02,4.914782103803986835e-01,4.839984751141388486e-01
2.390000000000000000e+02,4.914782103803986835e-01,4.840908309756170036e-01
2.400000000000000000e+02,4.914782103803986835e-01,4.838329092028204603e-01
2.410000000000000000e+02,4.914782103803986835e-01,4.836595869417207316e-01
2.420000000000000000e+02,4.914782103803986835e-01,4.820250161759293550e-01
2.430000000000000000e+02,4.914782103803986835e-01,4.835076500099398378e-01
2.440000000000000000e+02,4.914782103803986835e-01,4.861292442476872755e-01
2.450000000000000000e+02,4.914782103803986835e-01,4.820501205698719538e-01
2.460000000000000000e+02,4.914782103803986835e-01,4.831822499904527279e-01
2.470000000000000000e+02,4.914782103803986835e-01,4.831195590217495228e-01
2.480000000000000000e+02,4.914782103803986835e-01,4.836935331469549015e-01
2.490000000000000000e+02,4.914782103803986835e-01,4.875335285945158748e-01
2.500000000000000000e+02,4.914782103803986835e-01,4.822547830242287503e-01
2.510000000000000000e+02,4.914782103803986835e-01,4.840305932630498686e-01
2.520000000000000000e+02,4.914782103803986835e-01,4.840263507984489122e-01
2.530000000000000000e+02,4.914782103803986835e-01,4.867444386161980385e-01
2.540000000000000000e+02,4.918636716538378195e-01,4.861422414919508439e-01
2.550000000000000000e+02,4.918636716538378195e-01,4.855848009499876272e-01
2.560000000000000000e+02,4.918636716538378195e-01,4.856917137957116326e-01
2.570000000000000000e+02,4.918636716538378195e-01,4.846033104061514551e-01
2.580000000000000000e+02,4.918636716538378195e-01,4.825022307995361359e-01
2.590000000000000000e+02,4.918636716538378195e-01,4.864461616310237213e-01
2.600000000000000000e+02,4.918636716538378195e-01,4.860976228597067572e-01
2.610000000000000000e+02,4.918636716538378195e-01,4.834430700701716210e-01
2.620000000000000000e+02,4.918636716538378195e-01,4.836360320010911207e-01
2.630000000000000000e+02,4.918636716538378195e-01,4.838826772331883963e-01
2.640000000000000000e+02,4.918636716538378195e-01,4.888950342124368520e-01
2.650000000000000000e+02,4.918636716538378195e-01,4.854417995252189866e-01
2.660000000000000000e+02,4.918636716538378195e-01,4.822679539150772077e-01
2.670000000000000000e+02,4.918636716538378195e-01,4.883473979652628860e-01
2.680000000000000000e+02,4.918636716538378195e-01,4.851847455403126008e-01
2.690000000000000000e+02,4.918636716538378195e-01,4.841503693346670412e-01
2.700000000000000000e+02,4.918636716538378195e-01,4.859681481547656889e-01
2.710000000000000000e+02,4.918636716538378195e-01,4.855670503199894239e-01
2.720000000000000000e+02,4.918636716538378195e-01,4.834083953542506751e-01
2.730000000000000000e+02,4.918636716538378195e-01,4.868095292542891639e-01
2.740000000000000000e+02,4.918636716538378195e-01,4.849266992584661540e-01
2.750000000000000000e+02,4.918636716538378195e-01,4.838786674949421274e-01
2.760000000000000000e+02,4.918636716538378195e-01,4.857938080574750184e-01
2.770000000000000000e+02,4.918636716538378195e-01,4.839963392699128120e-01
2.780000000000000000e+02,4.918636716538378195e-01,4.847369636790773706e-01
2.790000000000000000e+02,4.918636716538378195e-01,4.858789129042055954e-01
2.800000000000000000e+02,4.918636716538378195e-01,4.835583548292398115e-01
